model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,significant_05,label
type_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,local_only:competition_z,1.3134718608439566,0.39406183023742236,0.000858649754134795,0.541124865896672,2.085818855791241,11149,75,30,0.8843570970391048,True,Local MaaS only:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:local_only:competition_z,-0.8742232724038834,0.29731330175351145,0.0032777725890310513,-1.4569466359654553,-0.2914999088423117,11149,75,30,0.8843570970391048,True,Unlock fee:Local MaaS only:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:local_only,0.019285936203380198,0.051489890402633784,0.7079894184366293,-0.08163239455369661,0.120204266960457,11149,75,30,0.8843570970391048,False,Price/min:Local MaaS only
type_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:local_only:competition_z,-0.34399252228904953,0.13294314040318111,0.009667066501504345,-0.6045562894709362,-0.0834287551071628,11149,75,30,0.8843570970391048,True,Price/min:Local MaaS only:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:multi_platform,-0.43393482001293865,0.10452729320882195,3.3044467503923226e-05,-0.6388045501036879,-0.22906508992218944,11149,75,30,0.8843570970391048,True,Unlock fee:Multi-platform
type_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,multi_platform:competition_z,-0.017241168388576082,0.04217160340252281,0.6826617810759884,-0.09989599222782758,0.06541365545067543,11149,75,30,0.8843570970391048,False,Multi-platform:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:multi_platform:competition_z,1.2328502927090572,0.36546778385036083,0.0007425983094473621,0.5165465988526808,1.9491539865654337,11149,75,30,0.8843570970391048,True,Unlock fee:Multi-platform:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:multi_platform,-0.2868052903527102,0.10593733048080475,0.00678306998944859,-0.49443864271340476,-0.07917193799201558,11149,75,30,0.8843570970391048,True,Price/min:Multi-platform
type_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:multi_platform:competition_z,-1.8784412298862323,0.6297710015630028,0.0028568342393615162,-3.112769711457436,-0.6441127483150286,11149,75,30,0.8843570970391048,True,Price/min:Multi-platform:Competition
any_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,unlock_fee_z:platform_any,-0.30655817561130294,0.0949784526687609,0.0012480711537507384,-0.4927125221494165,-0.12040382907318939,11149,75,30,0.9551886093589191,True,Unlock fee:Any platform
any_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,unlock_fee_z:competition_z,0.1292181961146291,0.07357626900464653,0.07904602366082247,-0.014988641251308804,0.273425033480567,11149,75,30,0.9551886093589191,False,Unlock fee:Competition
any_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,platform_any:competition_z,-0.15682675667005802,0.10919677150128726,0.15094972856734043,-0.37084849604063086,0.05719498270051479,11149,75,30,0.9551886093589191,False,Any platform:Competition
any_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,unlock_fee_z:platform_any:competition_z,-0.07393588448363714,0.08611521922819945,0.39057817531176064,-0.24271861269167921,0.09484684372440494,11149,75,30,0.9551886093589191,False,Unlock fee:Any platform:Competition
any_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,price_per_minute_z:platform_any,0.3857062918324667,0.13654999076014834,0.004733189778114187,0.11807322785329877,0.6533393558116346,11149,75,30,0.9551886093589191,True,Price/min:Any platform
any_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,price_per_minute_z:competition_z,-0.25733238349464266,0.12800185177242315,0.04439096847613573,-0.5082114029230265,-0.006453364066258793,11149,75,30,0.9551886093589191,True,Price/min:Competition
any_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,price_per_minute_z:platform_any:competition_z,-0.1454536950410532,0.18520179829695585,0.4322310987093304,-0.5084425495751381,0.21753515949303176,11149,75,30,0.9551886093589191,False,Price/min:Any platform:Competition
type_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,unlock_fee_z:large_only,-0.1345614752847789,0.13732375151644394,0.3271429202835391,-0.40371108247893667,0.13458813190937885,11149,75,30,0.9586119367566114,False,Unlock fee:FreeNow only
type_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,unlock_fee_z:competition_z,0.1051282290187164,0.06117042245281562,0.08568502447246443,-0.014763595907902494,0.22502005394533528,11149,75,30,0.9586119367566114,False,Unlock fee:Competition
type_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,large_only:competition_z,-0.12335406066324761,0.11886239968168498,0.29936841756671706,-0.35632008315535535,0.10961196182886013,11149,75,30,0.9586119367566114,False,FreeNow only:Competition
type_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,unlock_fee_z:large_only:competition_z,0.08303283290082336,0.16770883130557726,0.6205287319578632,-0.2456704363474116,0.4117361021490583,11149,75,30,0.9586119367566114,False,Unlock fee:FreeNow only:Competition
type_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,price_per_minute_z:large_only,0.30810246614448983,0.2429916584734169,0.2048140536938733,-0.16815243300706434,0.784357365296044,11149,75,30,0.9586119367566114,False,Price/min:FreeNow only
type_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,price_per_minute_z:competition_z,-0.4565439225752043,0.1386872412970651,0.0009951453821082912,-0.728365920632668,-0.18472192451774067,11149,75,30,0.9586119367566114,True,Price/min:Competition
type_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,price_per_minute_z:large_only:competition_z,-0.25175842396628934,0.39190894319656944,0.5206199281283478,-1.0198858378507194,0.5163689899181406,11149,75,30,0.9586119367566114,False,Price/min:FreeNow only:Competition
type_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,unlock_fee_z:local_only,-1.7120731104571116,0.3742596018258306,4.772211884296719e-06,-2.4456084509040408,-0.9785377700101826,11149,75,30,0.9586119367566114,True,Unlock fee:Local MaaS only
type_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,local_only:competition_z,-1.202567142552811,0.5692019324474257,0.03462431376012996,-2.318182430080366,-0.08695185502525593,11149,75,30,0.9586119367566114,True,Local MaaS only:Competition
type_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,unlock_fee_z:local_only:competition_z,0.4591768553562905,0.13622197094648889,0.0007495057771905509,0.19218669839811064,0.7261670123144703,11149,75,30,0.9586119367566114,True,Unlock fee:Local MaaS only:Competition
type_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,price_per_minute_z:local_only,3.140318079987148,0.8698110463567902,0.0003057898362865897,1.43551975577274,4.845116404201557,11149,75,30,0.9586119367566114,True,Price/min:Local MaaS only
type_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,price_per_minute_z:local_only:competition_z,0.0010350833019192522,0.6078550194627416,0.9986413263686692,-1.1903388626669478,1.1924090292707863,11149,75,30,0.9586119367566114,False,Price/min:Local MaaS only:Competition
type_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,unlock_fee_z:multi_platform,-0.800471485422165,0.2148509005951522,0.00019476860881588115,-1.2215715126346585,-0.3793714582096714,11149,75,30,0.9586119367566114,True,Unlock fee:Multi-platform
type_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,multi_platform:competition_z,-0.3304876247966205,0.18053472458227834,0.06715964144588239,-0.684329182936744,0.023353933343502997,11149,75,30,0.9586119367566114,False,Multi-platform:Competition
type_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,unlock_fee_z:multi_platform:competition_z,0.305056786139644,0.15289995220764394,0.04602763026061073,0.005378386574766358,0.6047351857045216,11149,75,30,0.9586119367566114,True,Unlock fee:Multi-platform:Competition
type_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,price_per_minute_z:multi_platform,1.323103697032438,0.479660098585951,0.005808163540887134,0.38298717898304224,2.2632202150818337,11149,75,30,0.9586119367566114,True,Price/min:Multi-platform
type_market_fe_scooter_only,ols_cluster,market_fe,log_trip_count_day,price_per_minute_z:multi_platform:competition_z,-0.5850678108482237,0.4333354729800866,0.17696793047104653,-1.434389731112823,0.26425410941637584,11149,75,30,0.9586119367566114,False,Price/min:Multi-platform:Competition
any_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,unlock_fee_z:platform_any,0.31688559866796523,0.1974382618985201,0.10849693869891018,-0.07008628382332094,0.7038574811592514,11149,75,30,0.9739279958599387,False,Unlock fee:Any platform
any_unit_fe_scooter_only,ols_cluster,unit_fe,log_trip_count_day,unlock_fee_z:competition_z,-0.2907910789040428,0.11523250301451486,0.011618773347634344,-0.5166426346608952,-0.06493952314719048,11149,75,30,0.9739279958599387,True,Unlock fee:Competition
