model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,moderator,moderator_category,moderator_centrality,platform_family,significant_05,label,estimate,effect_direction
unlock_fee_gap_same_mode_platform_types_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_gap_to_same_mode_min_z:local_maas_only,-0.13953200651454725,0.016745712123639626,7.921837348944138e-17,-0.17235299917235666,-0.10671101385673784,11149,75,30,0.8841547049667025,0.8816384062843735,scooter_only,platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,platform_types,True,unlock_fee_gap_to_same_mode_min_z:Local MaaS only,-0.140***,negative
unlock_fee_gap_same_mode_platform_types_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_gap_to_same_mode_min_z:multi_platform,-0.14899980567742907,0.014759730920854103,5.811814899007541e-24,-0.1779283467038053,-0.12007126465105282,11149,75,30,0.8841547049667025,0.8816384062843735,scooter_only,platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,platform_types,True,unlock_fee_gap_to_same_mode_min_z:Multi-platform,-0.149***,negative
active_vehicle_share_same_mode_any_platform_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,active_vehicle_share_same_mode_z:platform_any,0.02776473881105311,0.00885801181629265,0.0017219357558612546,0.010403354676489285,0.04512612294561694,11149,75,30,0.8948975135923349,0.8926539149360834,scooter_only,platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,any_platform,True,active_vehicle_share_same_mode_z:Any platform,0.028**,positive
active_vehicle_share_same_mode_platform_types_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,active_vehicle_share_same_mode_z:large_aggregator_only,0.02945428427345249,0.010324761379534676,0.004333846160063843,0.009218123820594441,0.04969044472631054,11149,75,30,0.8952629095308027,0.8929878943680128,scooter_only,platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,platform_types,True,active_vehicle_share_same_mode_z:FreeNow only,0.029**,positive
reservation_available_platform_types_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,reservation_available_external:local_maas_only,-0.05095312165369659,0.02463226107124127,0.038588112815081455,-0.09923146621111748,-0.002674777096275692,11149,75,30,0.8837281393791547,0.8812134620416804,scooter_only,platform_feature_moderation,reservation_available,process_product,medium,platform_types,True,reservation_available_external:Local MaaS only,-0.051*,negative
reservation_available_platform_types_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,reservation_available_external:multi_platform,-0.08607394860061875,0.017833635071526858,1.389569553537769e-06,-0.12102723105424178,-0.051120666146995716,11149,75,30,0.8837281393791547,0.8812134620416804,scooter_only,platform_feature_moderation,reservation_available,process_product,medium,platform_types,True,reservation_available_external:Multi-platform,-0.086***,negative
high_fee_same_mode_competition_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:large_aggregator_only:same_mode_competitor_count_day_z,-0.06584564097810679,0.02990577780762669,0.027681567315904498,-0.12445988841071232,-0.007231393545501258,14514,97,30,0.7872537688709916,0.7841452703876329,all,high_fee_feature_moderation,same_mode_competition,competition,high,platform_types,True,unlock_fee_ge_1_00:FreeNow only:same_mode_competitor_count_day_z,-0.066*,negative
high_fee_unlock_fee_gap_same_mode_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only:unlock_fee_gap_to_same_mode_min_z,1.8742057249174207,0.40205042315960243,3.137322123180786e-06,1.0862013755555116,2.6622100742793298,14514,97,30,0.9008040156574282,0.8989661505534603,all,high_fee_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,platform_types,True,unlock_fee_ge_1_00:Local MaaS only:unlock_fee_gap_to_same_mode_min_z,1.874***,positive
high_fee_unlock_fee_gap_same_mode_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform:unlock_fee_gap_to_same_mode_min_z,1.8875555218265796,0.3957043703308367,1.8412038288323886e-06,1.1119892074530398,2.663121836200119,14514,97,30,0.9008040156574282,0.8989661505534603,all,high_fee_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,platform_types,True,unlock_fee_ge_1_00:Multi-platform:unlock_fee_gap_to_same_mode_min_z,1.888***,positive
high_fee_active_vehicle_share_same_mode_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform:active_vehicle_share_same_mode_z,-0.074065923740687,0.02803731307034499,0.008249322586359428,-0.12901804758183733,-0.019113799899536696,14514,97,30,0.9055256673800827,0.9037617751587801,all,high_fee_feature_moderation,active_vehicle_share_same_mode,availability_position,high,platform_types,True,unlock_fee_ge_1_00:Multi-platform:active_vehicle_share_same_mode_z,-0.074**,negative
