model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,moderator,moderator_category,moderator_centrality,platform_family,significant_05,label,estimate,effect_direction
price_per_minute_gap_same_mode_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,price_per_minute_gap_to_same_mode_min_z:multi_platform,-0.009717400624857363,0.007646119483176386,0.20376667532481219,-0.02470351943337309,0.005268718183658365,14514,97,30,0.9003345073861311,0.8985235516833815,all,platform_feature_moderation,price_per_minute_gap_same_mode,relative_price_position,high,platform_types,False,price_per_minute_gap_to_same_mode_min_z:Multi-platform,-0.010,negative
active_vehicle_share_same_mode_any_platform_market_fe_all,ols_cluster,market_fe,ur_boxcox,active_vehicle_share_same_mode_z:platform_any,0.03334330233519737,0.0176593405206729,0.059007195207646676,-0.0012683690760503241,0.06795497374644506,14514,97,30,0.7814138055768567,0.7783903989058275,all,platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,any_platform,False,active_vehicle_share_same_mode_z:Any platform,0.033+,positive
active_vehicle_share_same_mode_any_platform_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,active_vehicle_share_same_mode_z:platform_any,0.014791531779901073,0.00855595053008345,0.08384480193433673,-0.001977823112568876,0.03156088667237102,14514,97,30,0.9048119523768359,0.9031095430526735,all,platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,any_platform,False,active_vehicle_share_same_mode_z:Any platform,0.015+,positive
active_vehicle_share_same_mode_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,active_vehicle_share_same_mode_z:large_aggregator_only,-0.060593565527457816,0.033245289293189276,0.06836079861361219,-0.12575313519772385,0.004566004142808236,14514,97,30,0.7968937045890538,0.794026855894133,all,platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,platform_types,False,active_vehicle_share_same_mode_z:FreeNow only,-0.061+,negative
active_vehicle_share_same_mode_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,active_vehicle_share_same_mode_z:local_maas_only,0.05845746357064653,0.02290570019921779,0.010707811465731994,0.013563116139507725,0.10335181100178534,14514,97,30,0.7968937045890538,0.794026855894133,all,platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,platform_types,True,active_vehicle_share_same_mode_z:Local MaaS only,0.058*,positive
active_vehicle_share_same_mode_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,active_vehicle_share_same_mode_z:multi_platform,-0.007355423249943526,0.03210596893762398,0.8187925063458084,-0.07028196605644822,0.055571119556561174,14514,97,30,0.7968937045890538,0.794026855894133,all,platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,platform_types,False,active_vehicle_share_same_mode_z:Multi-platform,-0.007,negative
active_vehicle_share_same_mode_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,active_vehicle_share_same_mode_z:large_aggregator_only,0.026967704170407416,0.010235771060221006,0.008422335457764534,0.00690596153837688,0.04702944680243795,14514,97,30,0.9051137775008471,0.9033896627521955,all,platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,platform_types,True,active_vehicle_share_same_mode_z:FreeNow only,0.027**,positive
active_vehicle_share_same_mode_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,active_vehicle_share_same_mode_z:local_maas_only,0.01718707779981133,0.009024614991702921,0.056849443011653025,-0.0005008425582666357,0.034874998157889296,14514,97,30,0.9051137775008471,0.9033896627521955,all,platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,platform_types,False,active_vehicle_share_same_mode_z:Local MaaS only,0.017+,positive
active_vehicle_share_same_mode_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,active_vehicle_share_same_mode_z:multi_platform,0.019209680439175526,0.008497606255501867,0.023784098018283146,0.002554678223589596,0.035864682654761455,14514,97,30,0.9051137775008471,0.9033896627521955,all,platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,platform_types,True,active_vehicle_share_same_mode_z:Multi-platform,0.019*,positive
commute_peak_share_any_platform_market_fe_all,ols_cluster,market_fe,ur_boxcox,commute_peak_trip_share_z:platform_any,0.0005058223179549774,0.0036956719987010648,0.8911344736869522,-0.006737561698172266,0.007749206334082222,14514,97,30,0.7578606260166715,0.7545114401243418,all,platform_feature_moderation,commute_peak_share,process_usage_context,medium,any_platform,False,commute_peak_trip_share_z:Any platform,0.001,positive
