model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,dropped_city,significant_05,label,estimate,effect_direction
city_sensitivity_unlock_fee_ge_0_99_unit_fe_drop_bielefeld,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:multi_platform,-0.08569456690568497,0.00927833910070397,2.5592908445449914e-20,-0.1038797773794145,-0.06750935643195544,14055,94,29,0.9013257409573004,0.899516843954344,drop_bielefeld,leave_one_platform_city,BIELEFELD,True,unlock_fee_ge_0_99:Multi-platform,-0.086***,negative
city_sensitivity_unlock_fee_ge_1_00_market_fe_drop_bielefeld,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.21130206924867792,0.038288632441439895,3.415880296973521e-08,-0.28634640985119203,-0.1362577286461638,14055,94,29,0.7859458872330621,0.7828870885662136,drop_bielefeld,leave_one_platform_city,BIELEFELD,True,unlock_fee_ge_1_00:Local MaaS only,-0.211***,negative
city_sensitivity_unlock_fee_ge_1_00_market_fe_drop_bielefeld,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.10327832005077234,0.036416869935043804,0.0045682143909398995,-0.1746540735531377,-0.03190256654840698,14055,94,29,0.7859458872330621,0.7828870885662136,drop_bielefeld,leave_one_platform_city,BIELEFELD,True,unlock_fee_ge_1_00:Multi-platform,-0.103**,negative
city_sensitivity_unlock_fee_ge_1_00_unit_fe_drop_bielefeld,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.03514123393431963,0.009982354545826742,0.0004310017603742532,-0.05470628932504973,-0.015576178543589527,14055,94,29,0.901402963195698,0.8995954818311963,drop_bielefeld,leave_one_platform_city,BIELEFELD,True,unlock_fee_ge_1_00:Local MaaS only,-0.035***,negative
city_sensitivity_unlock_fee_ge_1_00_unit_fe_drop_bielefeld,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.08514310174905021,0.008044842222471258,3.55185417904259e-26,-0.10091070276640104,-0.06937550073169937,14055,94,29,0.901402963195698,0.8995954818311963,drop_bielefeld,leave_one_platform_city,BIELEFELD,True,unlock_fee_ge_1_00:Multi-platform,-0.085***,negative
city_sensitivity_unlock_fee_ge_1_20_market_fe_drop_bielefeld,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.21834224771266014,0.038534140479097236,1.4599687171195614e-08,-0.2938677752268978,-0.14281672019842254,14055,94,29,0.7887753455204762,0.7857569793551367,drop_bielefeld,leave_one_platform_city,BIELEFELD,True,unlock_fee_ge_1_20:Local MaaS only,-0.218***,negative
city_sensitivity_unlock_fee_ge_1_20_market_fe_drop_bielefeld,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.1316943385454563,0.03967833565734293,0.0009032459251883618,-0.20946244740033987,-0.05392622969057276,14055,94,29,0.7887753455204762,0.7857569793551367,drop_bielefeld,leave_one_platform_city,BIELEFELD,True,unlock_fee_ge_1_20:Multi-platform,-0.132***,negative
city_sensitivity_unlock_fee_ge_1_20_unit_fe_drop_bielefeld,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.03823289103563723,0.010762871833386253,0.0003818871002823744,-0.059327732199294866,-0.01713804987197959,14055,94,29,0.9013366601839065,0.8995279633522659,drop_bielefeld,leave_one_platform_city,BIELEFELD,True,unlock_fee_ge_1_20:Local MaaS only,-0.038***,negative
city_sensitivity_unlock_fee_ge_1_20_unit_fe_drop_bielefeld,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.07343628739055971,0.011514595105368732,1.7980245679134222e-10,-0.09600447909364361,-0.050868095687475814,14055,94,29,0.9013366601839065,0.8995279633522659,drop_bielefeld,leave_one_platform_city,BIELEFELD,True,unlock_fee_ge_1_20:Multi-platform,-0.073***,negative
city_sensitivity_unlock_fee_ge_0_99_market_fe_drop_bonn,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:local_maas_only,-0.2009679253064545,0.04334104468153349,3.5367991261531243e-06,-0.2859148119346014,-0.1160210386783076,13911,93,29,0.7758714324559884,0.7726350368628062,drop_bonn,leave_one_platform_city,BONN,True,unlock_fee_ge_0_99:Local MaaS only,-0.201***,negative
city_sensitivity_unlock_fee_ge_0_99_market_fe_drop_bonn,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:multi_platform,-0.08621894678010773,0.044235246396279196,0.05128340802914176,-0.1729184365640702,0.00048054300385470816,13911,93,29,0.7758714324559884,0.7726350368628062,drop_bonn,leave_one_platform_city,BONN,False,unlock_fee_ge_0_99:Multi-platform,-0.086+,negative
city_sensitivity_unlock_fee_ge_0_99_unit_fe_drop_bonn,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:local_maas_only,-0.044271121873486,0.012983779062603762,0.0006502830679323544,-0.06971886121941459,-0.018823382527557407,13911,93,29,0.9004077328544793,0.8985701833361991,drop_bonn,leave_one_platform_city,BONN,True,unlock_fee_ge_0_99:Local MaaS only,-0.044***,negative
city_sensitivity_unlock_fee_ge_0_99_unit_fe_drop_bonn,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:multi_platform,-0.08640016627844543,0.00944606523383238,5.870836725801392e-20,-0.10491411393237282,-0.06788621862451805,13911,93,29,0.9004077328544793,0.8985701833361991,drop_bonn,leave_one_platform_city,BONN,True,unlock_fee_ge_0_99:Multi-platform,-0.086***,negative
city_sensitivity_unlock_fee_ge_1_00_market_fe_drop_bonn,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.2237683776165957,0.04074112159818575,3.964065822192239e-08,-0.3036195086388067,-0.1439172465943847,13911,93,29,0.775815752631987,0.7725785530273439,drop_bonn,leave_one_platform_city,BONN,True,unlock_fee_ge_1_00:Local MaaS only,-0.224***,negative
city_sensitivity_unlock_fee_ge_1_00_market_fe_drop_bonn,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.11959536937913609,0.0372711036845737,0.0013329201661260919,-0.19264539026495864,-0.04654534849331353,13911,93,29,0.775815752631987,0.7725785530273439,drop_bonn,leave_one_platform_city,BONN,True,unlock_fee_ge_1_00:Multi-platform,-0.120**,negative
city_sensitivity_unlock_fee_ge_1_00_unit_fe_drop_bonn,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.035000669587159056,0.01022307589306664,0.0006177645142773786,-0.055037530148789315,-0.014963809025528792,13911,93,29,0.9004813116294247,0.8986451196928757,drop_bonn,leave_one_platform_city,BONN,True,unlock_fee_ge_1_00:Local MaaS only,-0.035***,negative
