model,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,significant_05,label
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,unlock_fee_z:large_aggregator_only,-0.2315917441332166,0.19142235221929232,0.2263376364656695,-0.6067726603189705,0.14358917205253724,13768,92,30,0.9338917456551524,0.9328479054404548,False,Unlock fee:FreeNow only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,unlock_fee_z:local_maas_only,-0.34898008256519075,0.1124208103314553,0.0019077478832142225,-0.5693208219276515,-0.12863934320272993,13768,92,30,0.9338917456551524,0.9328479054404548,True,Unlock fee:Local MaaS only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,unlock_fee_z:multi_platform_membership,-0.44913621627402994,0.2362432135392281,0.05728102068448507,-0.9121644064029223,0.013891973854862405,13768,92,30,0.9338917456551524,0.9328479054404548,False,Unlock fee:Multi-platform
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,unlock_fee_z:weak_exposure_only,4.2509076428060395e-17,6.642590278801343e-18,1.5591425633289603e-10,2.9489838717553884e-17,5.55283141385669e-17,13768,92,30,0.9338917456551524,0.9328479054404548,True,Unlock fee:Weak exposure only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,relative_fleet_size_z:large_aggregator_only,-0.0495319215744967,0.07614844017225947,0.5153916785194117,-0.1987801217910283,0.09971627864203489,13768,92,30,0.9338917456551524,0.9328479054404548,False,Relative fleet:FreeNow only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,relative_fleet_size_z:local_maas_only,0.27791810968516195,0.10193943661776247,0.006404756781319752,0.07812048531004392,0.47771573406028,13768,92,30,0.9338917456551524,0.9328479054404548,True,Relative fleet:Local MaaS only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,relative_fleet_size_z:multi_platform_membership,0.058310792864110464,0.10544689489469006,0.5802721120083905,-0.14836132341106256,0.26498290913928346,13768,92,30,0.9338917456551524,0.9328479054404548,False,Relative fleet:Multi-platform
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,relative_fleet_size_z:weak_exposure_only,-1.0922003531505057e-16,1.5914120366789987e-17,6.738688985593468e-12,-1.404111380795943e-16,-7.802893255050685e-17,13768,92,30,0.9338917456551524,0.9328479054404548,True,Relative fleet:Weak exposure only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,Coverage_z:large_aggregator_only,-0.04087880139516814,0.06838648939014491,0.5499991717283057,-0.1749138576289827,0.09315625483864642,13768,92,30,0.9338917456551524,0.9328479054404548,False,Coverage:FreeNow only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,Coverage_z:local_maas_only,-0.10581185654070105,0.09325431020636395,0.2565181585234346,-0.28858694594830037,0.07696323286689827,13768,92,30,0.9338917456551524,0.9328479054404548,False,Coverage:Local MaaS only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,Coverage_z:multi_platform_membership,-0.008179358501330058,0.10121476612492308,0.9355915367858094,-0.206556654809824,0.19019793780716387,13768,92,30,0.9338917456551524,0.9328479054404548,False,Coverage:Multi-platform
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,Coverage_z:weak_exposure_only,7.767906342457503e-17,4.3103417854007164e-18,1.3198009861877536e-72,6.923094876413155e-17,8.61271780850185e-17,13768,92,30,0.9338917456551524,0.9328479054404548,True,Coverage:Weak exposure only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,Exclusive_Coverage_z:large_aggregator_only,-0.21071315075300745,0.09302403268013618,0.02350363242715408,-0.39303690450275136,-0.02838939700326354,13768,92,30,0.9338917456551524,0.9328479054404548,True,Exclusive_Coverage:FreeNow only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,Exclusive_Coverage_z:local_maas_only,0.06156967517854816,0.10689081294005078,0.5646115966650369,-0.14793246846215932,0.2710718188192556,13768,92,30,0.9338917456551524,0.9328479054404548,False,Exclusive_Coverage:Local MaaS only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,Exclusive_Coverage_z:multi_platform_membership,0.15874152594188196,0.09960540673657027,0.1110023685968247,-0.036481483927259056,0.35396453581102294,13768,92,30,0.9338917456551524,0.9328479054404548,False,Exclusive_Coverage:Multi-platform
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,Exclusive_Coverage_z:weak_exposure_only,8.155404008462465e-17,2.7149983055089166e-18,3.1005072513148264e-198,7.62327411877399e-17,8.68753389815094e-17,13768,92,30,0.9338917456551524,0.9328479054404548,True,Exclusive_Coverage:Weak exposure only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,promo_active_clean:large_aggregator_only,1.3603250818634074e-16,3.701085766404394e-18,9.760137874413008e-296,1.2877851338049431e-16,1.4328650299218718e-16,13768,92,30,0.9338917456551524,0.9328479054404548,True,Promotion:FreeNow only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,promo_active_clean:local_maas_only,-0.0274988181885953,0.13213230523176187,0.8351385637586529,-0.2864733776371019,0.23147574125991133,13768,92,30,0.9338917456551524,0.9328479054404548,False,Promotion:Local MaaS only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,promo_active_clean:multi_platform_membership,-0.24100495501769126,0.10675610897083679,0.023975072774601824,-0.45024308373016475,-0.031766826305217766,13768,92,30,0.9338917456551524,0.9328479054404548,True,Promotion:Multi-platform
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,promo_active_clean:weak_exposure_only,-7.611208694615315e-17,2.4305748567614185e-18,2.9679661124608254e-215,-8.087592612713413e-17,-7.134824776517216e-17,13768,92,30,0.9338917456551524,0.9328479054404548,True,Promotion:Weak exposure only
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,large_aggregator_only,-0.00017910389867248355,0.03733045317276814,0.9961719273371138,-0.07334544764385703,0.07298723984651206,13768,92,30,0.9734136088865802,0.9728938127483929,False,FreeNow only
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,local_maas_only,0.1335541307969304,0.05513720209386981,0.01542624166055145,0.025487200484639122,0.24162106110922169,13768,92,30,0.9734136088865802,0.9728938127483929,True,Local MaaS only
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,multi_platform_membership,0.0599694308968543,0.07252167910549227,0.40828393852304057,-0.08217044824828151,0.20210931004199012,13768,92,30,0.9734136088865802,0.9728938127483929,False,Multi-platform
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,weak_exposure_only,5.135690074189785e-16,6.0195171110878614e-18,0.0,5.017709706769237e-16,5.253670441610333e-16,13768,92,30,0.9734136088865802,0.9728938127483929,True,Weak exposure only
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,price_per_minute_z:large_aggregator_only,0.14629199693940986,0.1340523967848788,0.2751388753600835,-0.1164458728002255,0.40902986667904523,13768,92,30,0.9734136088865802,0.9728938127483929,False,Price/min:FreeNow only
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,price_per_minute_z:local_maas_only,0.3265349822180872,0.07067855215104919,3.837381787186681e-06,0.18800756552259482,0.4650623989135796,13768,92,30,0.9734136088865802,0.9728938127483929,True,Price/min:Local MaaS only
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,price_per_minute_z:multi_platform_membership,-0.4494819234116436,0.2174425455961654,0.03872194313817539,-0.8756614814868364,-0.02330236533645086,13768,92,30,0.9734136088865802,0.9728938127483929,True,Price/min:Multi-platform
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,price_per_minute_z:weak_exposure_only,4.0872408828123673e-16,6.5182719310650686e-18,0.0,3.9594851005491086e-16,4.214996665075626e-16,13768,92,30,0.9734136088865802,0.9728938127483929,True,Price/min:Weak exposure only
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,unlock_fee_z:large_aggregator_only,-0.1064380212863908,0.07755747755462086,0.1699464155790832,-0.25844788402522134,0.045571841452439726,13768,92,30,0.9734136088865802,0.9728938127483929,False,Unlock fee:FreeNow only
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,unlock_fee_z:local_maas_only,-0.4832700940810133,0.07449032380552736,8.716265676793147e-11,-0.6292684459365736,-0.33727174222545303,13768,92,30,0.9734136088865802,0.9728938127483929,True,Unlock fee:Local MaaS only
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,unlock_fee_z:multi_platform_membership,0.052688640590832225,0.10399065398488795,0.6123884354759497,-0.1511292959483148,0.25650657712997926,13768,92,30,0.9734136088865802,0.9728938127483929,False,Unlock fee:Multi-platform
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,unlock_fee_z:weak_exposure_only,-5.5293886994211567e-17,5.483815711917083e-18,6.561940270399891e-24,-6.604196828742392e-17,-4.4545805700999206e-17,13768,92,30,0.9734136088865802,0.9728938127483929,True,Unlock fee:Weak exposure only
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,relative_fleet_size_z:large_aggregator_only,0.056288483705797296,0.04299542825857558,0.1904755203414299,-0.02798100718088653,0.14055797459248112,13768,92,30,0.9734136088865802,0.9728938127483929,False,Relative fleet:FreeNow only
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,relative_fleet_size_z:local_maas_only,0.02445167059211502,0.03356678299336034,0.4663391221493739,-0.041338015151742846,0.09024135633597288,13768,92,30,0.9734136088865802,0.9728938127483929,False,Relative fleet:Local MaaS only
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,relative_fleet_size_z:multi_platform_membership,-0.020508875201612063,0.02679443425590336,0.4440241680960877,-0.07302500132930893,0.03200725092608481,13768,92,30,0.9734136088865802,0.9728938127483929,False,Relative fleet:Multi-platform
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,relative_fleet_size_z:weak_exposure_only,-3.42802242528202e-17,5.915955200103864e-18,6.850971533595062e-09,-4.5875283379176226e-17,-2.2685165126464178e-17,13768,92,30,0.9734136088865802,0.9728938127483929,True,Relative fleet:Weak exposure only
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,Coverage_z:large_aggregator_only,-0.04722029341694364,0.030795723757163673,0.12519227694167112,-0.10757880285882895,0.013138216024941675,13768,92,30,0.9734136088865802,0.9728938127483929,False,Coverage:FreeNow only
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,Coverage_z:local_maas_only,-0.0851901862013772,0.06897886311089825,0.21682354272259663,-0.22038627359325627,0.050005901190501884,13768,92,30,0.9734136088865802,0.9728938127483929,False,Coverage:Local MaaS only
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,Coverage_z:multi_platform_membership,-0.0114806506999095,0.05909932036143461,0.8459720827471238,-0.12731319011911602,0.10435188871929703,13768,92,30,0.9734136088865802,0.9728938127483929,False,Coverage:Multi-platform
type_moderation_unit_fe_no_weak_exposure,log_trip_count_day,Coverage_z:weak_exposure_only,-3.9452532556038564e-17,4.0213354566659645e-18,1.011596697331546e-22,-4.7334205220857786e-17,-3.157085989121934e-17,13768,92,30,0.9734136088865802,0.9728938127483929,True,Coverage:Weak exposure only
