model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,competition_measure,idea,significant_05,label,estimate,effect_direction
isolated_competition_city_competition_z_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any,-0.07144292823632781,0.019379942133421743,0.0002274160527406061,-0.10942691684030476,-0.03345893963235085,13768,92,30,0.8141394852796591,0.8113995941508857,no_weak_exposure,city_competition_z,isolated_competition_pricing,True,Unlock fee:Any platform,-0.071***,negative
isolated_competition_city_competition_z_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any:city_competition_z,-0.026988481016199932,0.019414469066464404,0.16449182676596052,-0.06504014116543713,0.011063179133037261,13768,92,30,0.8141394852796591,0.8113995941508857,no_weak_exposure,city_competition_z,isolated_competition_pricing,False,Unlock fee:Any platform:city_Competition,-0.027,negative
isolated_competition_city_competition_z_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any,0.004977034085431653,0.007327370024498717,0.49698656123271656,-0.009384347263984206,0.01933841543484751,13768,92,30,0.9026108775639455,0.9008023047812103,no_weak_exposure,city_competition_z,isolated_competition_pricing,False,Unlock fee:Any platform,0.005,positive
isolated_competition_city_competition_z_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any:city_competition_z,0.0226289322002573,0.013145741925689382,0.08518030517509176,-0.0031362485241521014,0.04839411292466671,13768,92,30,0.9026108775639455,0.9008023047812103,no_weak_exposure,city_competition_z,isolated_competition_pricing,False,Unlock fee:Any platform:city_Competition,0.023+,positive
isolated_competition_active_city_operators_z_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any,-0.052920255436365055,0.01753085171430885,0.002538678301445384,-0.08728009341472268,-0.01856041745800744,13768,92,30,0.8143639758822625,0.8116135084749453,no_weak_exposure,active_city_operators_z,isolated_competition_pricing,True,Unlock fee:Any platform,-0.053**,negative
isolated_competition_active_city_operators_z_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any:active_city_operators_z,-0.03426022688739766,0.011213845740419722,0.002249315274775634,-0.05623896066680821,-0.01228149310798711,13768,92,30,0.8143639758822625,0.8116135084749453,no_weak_exposure,active_city_operators_z,isolated_competition_pricing,True,Unlock fee:Any platform:active_city_operators_z,-0.034**,negative
isolated_competition_active_city_operators_z_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any,-0.0038679699908522325,0.009451569353813515,0.6823627856424647,-0.022392705521709234,0.014656765540004769,13768,92,30,0.9032858837050798,0.9014752672020004,no_weak_exposure,active_city_operators_z,isolated_competition_pricing,False,Unlock fee:Any platform,-0.004,negative
isolated_competition_active_city_operators_z_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any:active_city_operators_z,0.0014243692186511892,0.009212844621742308,0.8771312409940552,-0.016632474435127272,0.01948121287242965,13768,92,30,0.9032858837050798,0.9014752672020004,no_weak_exposure,active_city_operators_z,isolated_competition_pricing,False,Unlock fee:Any platform:active_city_operators_z,0.001,positive
isolated_competition_active_operators_z_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any,-0.052920255436365055,0.01753085171430885,0.002538678301445384,-0.08728009341472268,-0.01856041745800744,13768,92,30,0.8143639758822625,0.8116135084749453,no_weak_exposure,active_operators_z,isolated_competition_pricing,True,Unlock fee:Any platform,-0.053**,negative
isolated_competition_active_operators_z_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any:active_operators_z,-0.03426022688739766,0.011213845740419722,0.002249315274775634,-0.05623896066680821,-0.01228149310798711,13768,92,30,0.8143639758822625,0.8116135084749453,no_weak_exposure,active_operators_z,isolated_competition_pricing,True,Unlock fee:Any platform:active_operators_z,-0.034**,negative
isolated_competition_active_operators_z_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any,-0.0038679699908522325,0.009451569353813515,0.6823627856424647,-0.022392705521709234,0.014656765540004769,13768,92,30,0.9032858837050798,0.9014752672020004,no_weak_exposure,active_operators_z,isolated_competition_pricing,False,Unlock fee:Any platform,-0.004,negative
isolated_competition_active_operators_z_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any:active_operators_z,0.0014243692186511892,0.009212844621742308,0.8771312409940552,-0.016632474435127272,0.01948121287242965,13768,92,30,0.9032858837050798,0.9014752672020004,no_weak_exposure,active_operators_z,isolated_competition_pricing,False,Unlock fee:Any platform:active_operators_z,0.001,positive
isolated_competition_market_fragmentation_z_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any,-0.0502892001291604,0.01777636313627025,0.0046694775668307525,-0.08513023165235556,-0.015448168605965228,13768,92,30,0.8102421656416859,0.8074306276270891,no_weak_exposure,market_fragmentation_z,isolated_competition_pricing,True,Unlock fee:Any platform,-0.050**,negative
isolated_competition_market_fragmentation_z_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any:market_fragmentation_z,-0.027759652949862473,0.01589996111641038,0.08082930450396818,-0.05892300409361408,0.0034036981938891375,13768,92,30,0.8102421656416859,0.8074306276270891,no_weak_exposure,market_fragmentation_z,isolated_competition_pricing,False,Unlock fee:Any platform:market_fragmentation_z,-0.028+,negative
isolated_competition_market_fragmentation_z_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any,-0.0010511984629552884,0.01084237529846105,0.9227638911799824,-0.02230186355480567,0.02019946662889509,13768,92,30,0.902779638096406,0.9009595440042343,no_weak_exposure,market_fragmentation_z,isolated_competition_pricing,False,Unlock fee:Any platform,-0.001,negative
isolated_competition_market_fragmentation_z_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any:market_fragmentation_z,0.005057572307718788,0.015246254059912897,0.7400964914256923,-0.024824536548858068,0.03493968116429565,13768,92,30,0.902779638096406,0.9009595440042343,no_weak_exposure,market_fragmentation_z,isolated_competition_pricing,False,Unlock fee:Any platform:market_fragmentation_z,0.005,positive
isolated_competition_leave_one_out_competitor_trips_z_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any,-0.05808985750657038,0.017770751419141008,0.001079868902981649,-0.0929198902663008,-0.02325982474683995,13768,92,30,0.8121824129138359,0.8093996224815552,no_weak_exposure,leave_one_out_competitor_trips_z,isolated_competition_pricing,True,Unlock fee:Any platform,-0.058**,negative
isolated_competition_leave_one_out_competitor_trips_z_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any:leave_one_out_competitor_trips_z,-0.012507432077856293,0.01817059650216147,0.4912427283110383,-0.04812114679970225,0.02310628264398967,13768,92,30,0.8121824129138359,0.8093996224815552,no_weak_exposure,leave_one_out_competitor_trips_z,isolated_competition_pricing,False,Unlock fee:Any platform:leave_one_out_competitor_trips_z,-0.013,negative
isolated_competition_leave_one_out_competitor_trips_z_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any,0.003297053999210625,0.009241949548898188,0.7212799023756467,-0.014816834263566024,0.021410942261987274,13768,92,30,0.90505222677333,0.9032746785547161,no_weak_exposure,leave_one_out_competitor_trips_z,isolated_competition_pricing,False,Unlock fee:Any platform,0.003,positive
isolated_competition_leave_one_out_competitor_trips_z_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any:leave_one_out_competitor_trips_z,0.006592437368394891,0.01023739438035951,0.5196035970407678,-0.013472486912642492,0.026657361649432273,13768,92,30,0.90505222677333,0.9032746785547161,no_weak_exposure,leave_one_out_competitor_trips_z,isolated_competition_pricing,False,Unlock fee:Any platform:leave_one_out_competitor_trips_z,0.007,positive
isolated_competition_city_competition_z_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any,-0.05976706806903076,0.019013165859565886,0.001669649819274777,-0.09703218838586644,-0.022501947752195085,11149,75,30,0.8371234201995497,0.8341782546469936,scooter_only,city_competition_z,isolated_competition_pricing,True,Unlock fee:Any platform,-0.060**,negative
isolated_competition_city_competition_z_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any:city_competition_z,-0.02912392572022576,0.012751107234258782,0.022369702158885653,-0.05411563666238111,-0.004132214778070409,11149,75,30,0.8371234201995497,0.8341782546469936,scooter_only,city_competition_z,isolated_competition_pricing,True,Unlock fee:Any platform:city_Competition,-0.029*,negative
isolated_competition_city_competition_z_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any,0.01115965479112787,0.017966288825448744,0.5345047975709172,-0.0240536242425961,0.04637293382485184,11149,75,30,0.8833915930073496,0.8808914677337304,scooter_only,city_competition_z,isolated_competition_pricing,False,Unlock fee:Any platform,0.011,positive
isolated_competition_city_competition_z_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any:city_competition_z,0.030736530205348462,0.04185961401204356,0.4627802470181628,-0.051306805665005104,0.11277986607570202,11149,75,30,0.8833915930073496,0.8808914677337304,scooter_only,city_competition_z,isolated_competition_pricing,False,Unlock fee:Any platform:city_Competition,0.031,positive
isolated_competition_active_city_operators_z_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any,-0.03563212730099838,0.012902309354575888,0.005750374962511613,-0.06092018895336135,-0.010344065648635409,11149,75,30,0.8455149855252186,0.8427071932263346,scooter_only,active_city_operators_z,isolated_competition_pricing,True,Unlock fee:Any platform,-0.036**,negative
isolated_competition_active_city_operators_z_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any:active_city_operators_z,-0.04707690860394457,0.011613193876688433,5.040449282323935e-05,-0.06983835034773499,-0.02431546686015415,11149,75,30,0.8455149855252186,0.8427071932263346,scooter_only,active_city_operators_z,isolated_competition_pricing,True,Unlock fee:Any platform:active_city_operators_z,-0.047***,negative
isolated_competition_active_city_operators_z_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any,-0.005437433676396456,0.009447627126911787,0.5649299850080823,-0.023954442584507185,0.01307957523171427,11149,75,30,0.8851373978183683,0.8826531993107744,scooter_only,active_city_operators_z,isolated_competition_pricing,False,Unlock fee:Any platform,-0.005,negative
isolated_competition_active_city_operators_z_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any:active_city_operators_z,-0.006923698057711518,0.01585162627881324,0.6622697732051382,-0.03799231466057414,0.02414491854515111,11149,75,30,0.8851373978183683,0.8826531993107744,scooter_only,active_city_operators_z,isolated_competition_pricing,False,Unlock fee:Any platform:active_city_operators_z,-0.007,negative
isolated_competition_active_operators_z_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any,-0.03563212730099838,0.012902309354575888,0.005750374962511613,-0.06092018895336135,-0.010344065648635409,11149,75,30,0.8455149855252186,0.8427071932263346,scooter_only,active_operators_z,isolated_competition_pricing,True,Unlock fee:Any platform,-0.036**,negative
isolated_competition_active_operators_z_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any:active_operators_z,-0.04707690860394457,0.011613193876688433,5.040449282323935e-05,-0.06983835034773499,-0.02431546686015415,11149,75,30,0.8455149855252186,0.8427071932263346,scooter_only,active_operators_z,isolated_competition_pricing,True,Unlock fee:Any platform:active_operators_z,-0.047***,negative
isolated_competition_active_operators_z_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any,-0.005437433676396456,0.009447627126911787,0.5649299850080823,-0.023954442584507185,0.01307957523171427,11149,75,30,0.8851373978183683,0.8826531993107744,scooter_only,active_operators_z,isolated_competition_pricing,False,Unlock fee:Any platform,-0.005,negative
isolated_competition_active_operators_z_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any:active_operators_z,-0.006923698057711518,0.01585162627881324,0.6622697732051382,-0.03799231466057414,0.02414491854515111,11149,75,30,0.8851373978183683,0.8826531993107744,scooter_only,active_operators_z,isolated_competition_pricing,False,Unlock fee:Any platform:active_operators_z,-0.007,negative
isolated_competition_market_fragmentation_z_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any,-0.008044709373140078,0.0143225844970522,0.5743340578872111,-0.03611645915289412,0.02002704040661396,11149,75,30,0.8486678583278887,0.8459173700465159,scooter_only,market_fragmentation_z,isolated_competition_pricing,False,Unlock fee:Any platform,-0.008,negative
isolated_competition_market_fragmentation_z_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any:market_fragmentation_z,-0.08219480860548171,0.016322627583045625,4.7626521548672077e-07,-0.11418657080131121,-0.050203046409652216,11149,75,30,0.8486678583278887,0.8459173700465159,scooter_only,market_fragmentation_z,isolated_competition_pricing,True,Unlock fee:Any platform:market_fragmentation_z,-0.082***,negative
isolated_competition_market_fragmentation_z_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any,0.003955110136890278,0.013806735968666337,0.7745240201947504,-0.023105595105749478,0.031015815379530035,11149,75,30,0.8845544032172599,0.8820575959554631,scooter_only,market_fragmentation_z,isolated_competition_pricing,False,Unlock fee:Any platform,0.004,positive
isolated_competition_market_fragmentation_z_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any:market_fragmentation_z,-0.02475239887423294,0.022737230894401113,0.2763177180868862,-0.06931655253543056,0.01981175478696468,11149,75,30,0.8845544032172599,0.8820575959554631,scooter_only,market_fragmentation_z,isolated_competition_pricing,False,Unlock fee:Any platform:market_fragmentation_z,-0.025,negative
