model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,significant_05,label,estimate,effect_direction
threshold_type_unlock_fee_ge_1_00_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.1461973117230732,0.039445171180651696,0.00021027395338566834,-0.22350842660116782,-0.0688861968449786,14514,97,30,0.7785755216220308,0.7754658010970188,all,threshold_type,True,unlock_fee_ge_1_00:Multi-platform,-0.146***,negative
threshold_any_unlock_fee_ge_1_00_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:platform_any,-0.01306021672370841,0.015574952265612143,0.4017276274611108,-0.043586562225238726,0.01746612877782191,14514,97,30,0.9001559744172268,0.8983774217488754,all,threshold_any,False,unlock_fee_ge_1_00:Any platform,-0.013,negative
threshold_type_unlock_fee_ge_1_00_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:large_aggregator_only,-0.015698129998559025,0.01595839754707032,0.32526752927063884,-0.04697601444178919,0.015579754444671141,14514,97,30,0.9005437579830644,0.8987437081450869,all,threshold_type,False,unlock_fee_ge_1_00:FreeNow only,-0.016,negative
threshold_type_unlock_fee_ge_1_00_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.04889732940738122,0.016045859698262187,0.0023086973194887312,-0.08034663651695785,-0.017448022297804594,14514,97,30,0.9005437579830644,0.8987437081450869,all,threshold_type,True,unlock_fee_ge_1_00:Local MaaS only,-0.049**,negative
threshold_type_unlock_fee_ge_1_00_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.0988043956793538,0.01536579086664652,1.274750531500321e-10,-0.12892079237195547,-0.06868799898675212,14514,97,30,0.9005437579830644,0.8987437081450869,all,threshold_type,True,unlock_fee_ge_1_00:Multi-platform,-0.099***,negative
threshold_any_unlock_fee_ge_1_20_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:platform_any,-0.15494069707873342,0.034683093187429674,7.920324566657244e-06,-0.2229183105985421,-0.08696308355892475,14514,97,30,0.7634758655221715,0.7602210978152608,all,threshold_any,True,unlock_fee_ge_1_20:Any platform,-0.155***,negative
threshold_type_unlock_fee_ge_1_20_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:large_aggregator_only,-0.039165103279589525,0.024404971972154257,0.10853778757476033,-0.08699796938872133,0.008667762829542278,14514,97,30,0.7816664776161673,0.7786001669678198,all,threshold_type,False,unlock_fee_ge_1_20:FreeNow only,-0.039,negative
threshold_type_unlock_fee_ge_1_20_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.23345565959896625,0.04141273102953678,1.7274500564030273e-08,-0.3146231209183027,-0.1522881982796298,14514,97,30,0.7816664776161673,0.7786001669678198,all,threshold_type,True,unlock_fee_ge_1_20:Local MaaS only,-0.233***,negative
threshold_type_unlock_fee_ge_1_20_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.17112779166611697,0.0406185723225505,2.51953077677236e-05,-0.2507387305217514,-0.09151685281048254,14514,97,30,0.7816664776161673,0.7786001669678198,all,threshold_type,True,unlock_fee_ge_1_20:Multi-platform,-0.171***,negative
threshold_any_unlock_fee_ge_1_20_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:platform_any,-0.005171646938362977,0.01651342883284816,0.7541452328751838,-0.03753737271201067,0.027194078835284716,14514,97,30,0.9001257224898112,0.8983466309344715,all,threshold_any,False,unlock_fee_ge_1_20:Any platform,-0.005,negative
threshold_type_unlock_fee_ge_1_20_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:large_aggregator_only,-0.0065532621748832474,0.016973715599725697,0.6994352374077072,-0.03982113343417129,0.0267146090844048,14514,97,30,0.900442225376836,0.898640337909086,all,threshold_type,False,unlock_fee_ge_1_20:FreeNow only,-0.007,negative
threshold_type_unlock_fee_ge_1_20_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.04742393630019462,0.01729251506100938,0.006098189182336614,-0.08131664302188946,-0.013531229578499782,14514,97,30,0.900442225376836,0.898640337909086,all,threshold_type,True,unlock_fee_ge_1_20:Local MaaS only,-0.047**,negative
threshold_type_unlock_fee_ge_1_20_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.08204023391969752,0.01830524588591918,7.402020695095157e-06,-0.11791785658424911,-0.04616261125514593,14514,97,30,0.900442225376836,0.898640337909086,all,threshold_type,True,unlock_fee_ge_1_20:Multi-platform,-0.082***,negative
threshold_any_unlock_fee_positive_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_positive:platform_any,-0.12491285376864238,0.04627392076608791,0.006945997283523239,-0.2156080718936348,-0.03421763564364996,13768,92,30,0.8083655043501903,0.8055834855113537,no_weak_exposure,threshold_any,True,unlock_fee_positive:Any platform,-0.125**,negative
threshold_type_unlock_fee_positive_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_positive:large_aggregator_only,-0.0007702257462668602,0.006427200178145678,0.9046111178986366,-0.013367306616861809,0.011826855124328088,13768,92,30,0.8118954633338025,0.8091365598258003,no_weak_exposure,threshold_type,False,unlock_fee_positive:FreeNow only,-0.001,negative
threshold_type_unlock_fee_positive_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_positive:local_maas_only,-0.12064916090592775,0.0474603351210219,0.011018702889765265,-0.2136697084373321,-0.02762861337452341,13768,92,30,0.8118954633338025,0.8091365598258003,no_weak_exposure,threshold_type,True,unlock_fee_positive:Local MaaS only,-0.121*,negative
threshold_type_unlock_fee_positive_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_positive:multi_platform,-0.02278553746819303,0.011696861891198946,0.05141444651377737,-0.04571096550708203,0.00013989057069596633,13768,92,30,0.8118954633338025,0.8091365598258003,no_weak_exposure,threshold_type,False,unlock_fee_positive:Multi-platform,-0.023+,negative
threshold_any_unlock_fee_positive_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_positive:platform_any,0.005011149040378415,0.010167958530094202,0.6221275659342009,-0.014917683474903048,0.02493998155565988,13768,92,30,0.9024028967130039,0.9006051693333277,no_weak_exposure,threshold_any,False,unlock_fee_positive:Any platform,0.005,positive
threshold_type_unlock_fee_positive_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_positive:large_aggregator_only,-0.006490430593313071,0.005188542574064478,0.21096514890426843,-0.016659787170732195,0.003678925984106053,13768,92,30,0.9025892753608247,0.9007803014125831,no_weak_exposure,threshold_type,False,unlock_fee_positive:FreeNow only,-0.006,negative
