model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,feature,significant_05,label,estimate,effect_direction
underused_type_no_of_vehicle_types_z_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,no_of_vehicle_types_z:local_maas_only,-0.0036784172028006545,0.00756620873894467,0.6268509966762696,-0.01850791383064443,0.011151079425043118,13768,92,30,0.9025466753044655,0.900736910248341,no_weak_exposure,feature_x_platform_type,no_of_vehicle_types_z,False,no_of_vehicle_types_z:Local MaaS only,-0.004,negative
underused_type_no_of_vehicle_types_z_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,no_of_vehicle_types_z:multi_platform,0.011322470831773498,0.005693184774195515,0.0467259021375087,0.00016403371701848891,0.02248090794652851,13768,92,30,0.9025466753044655,0.900736910248341,no_weak_exposure,feature_x_platform_type,no_of_vehicle_types_z,True,no_of_vehicle_types_z:Multi-platform,0.011*,positive
underused_type_no_of_vehicle_types_z_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,no_of_vehicle_types_z:large_aggregator_only,0.002403515955165858,0.003906584828778093,0.5383913833790129,-0.005253249611789778,0.010060281522121494,13768,92,30,0.9025466753044655,0.900736910248341,no_weak_exposure,feature_x_platform_type,no_of_vehicle_types_z,False,no_of_vehicle_types_z:FreeNow only,0.002,positive
underused_any_group_ride_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,group_ride:platform_any,-0.0063674452763354365,1383.1950348738837,0.9999963269921092,-2711.0188193927124,2711.00608450216,11149,75,30,0.8292954601900611,0.8262563489636447,scooter_only,feature_x_any_platform,group_ride,False,group_ride:Any platform,-0.006,negative
underused_type_group_ride_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,group_ride:local_maas_only,-0.005253722536811377,5111.2111775218555,0.999999179868733,-10017.795079043934,10017.78457159886,11149,75,30,0.8330081232348716,0.8299730165149647,scooter_only,feature_x_platform_type,group_ride,False,group_ride:Local MaaS only,-0.005,negative
underused_type_group_ride_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,group_ride:multi_platform,-0.060197205086857226,1448.6482564327196,0.9999668446634197,-2839.3586060799616,2839.238211669788,11149,75,30,0.8330081232348716,0.8299730165149647,scooter_only,feature_x_platform_type,group_ride,False,group_ride:Multi-platform,-0.060,negative
underused_type_group_ride_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,group_ride:large_aggregator_only,-0.006511512010996658,903.4432743852193,0.9999942492959455,-1770.7227913819788,1770.7097683579568,11149,75,30,0.8330081232348716,0.8299730165149647,scooter_only,feature_x_platform_type,group_ride,False,group_ride:FreeNow only,-0.007,negative
underused_any_group_ride_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,group_ride:platform_any,-0.013119660214281195,0.016299435899084166,0.4208687400487655,-0.045065967544805394,0.018826647116243003,11149,75,30,0.8830835126771274,0.8805986624518702,scooter_only,feature_x_any_platform,group_ride,False,group_ride:Any platform,-0.013,negative
underused_type_group_ride_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,group_ride:local_maas_only,-0.05095312165369218,0.02463226107124138,0.03858811281509915,-0.0992314662111133,-0.0026747770962710637,11149,75,30,0.8837281393791546,0.8812134620416803,scooter_only,feature_x_platform_type,group_ride,True,group_ride:Local MaaS only,-0.051*,negative
underused_type_group_ride_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,group_ride:multi_platform,-0.08607394860061408,0.0178336350715272,1.389569553540243e-06,-0.1210272310542378,-0.05112066614699038,11149,75,30,0.8837281393791546,0.8812134620416803,scooter_only,feature_x_platform_type,group_ride,True,group_ride:Multi-platform,-0.086***,negative
underused_type_group_ride_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,group_ride:large_aggregator_only,-0.013000156895821293,0.01631140590201564,0.4254522279475593,-0.04496992500098602,0.018969611209343436,11149,75,30,0.8837281393791546,0.8812134620416803,scooter_only,feature_x_platform_type,group_ride,False,group_ride:FreeNow only,-0.013,negative
underused_any_subscription_options_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,subscription_options:platform_any,0.001455847292406147,0.007028492215996078,0.8359043668219185,-0.012319744316566279,0.015231438901378574,11149,75,30,0.83029371524415,0.8272723762934158,scooter_only,feature_x_any_platform,subscription_options,False,subscription_options:Any platform,0.001,positive
underused_type_subscription_options_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,subscription_options:local_maas_only,0.011467497675839145,0.011132849855504959,0.3029820788634007,-0.010352487086242517,0.033287482437920804,11149,75,30,0.8312576058599424,0.8282220610105595,scooter_only,feature_x_platform_type,subscription_options,False,subscription_options:Local MaaS only,0.011,positive
